added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_negative_lambda_fraction,boundary_split_factor,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_added_edges_on_flagged_node,max_error_dist_boundary,max_error_idx,max_error_is_boundary,max_error_local_cond,max_error_local_sigma_min,max_error_region,max_error_x,max_error_y,max_local_cond,max_local_size,mean_added_edges_per_flagged_node,median_dist_boundary,median_local_cond,median_radius,min_local_sigma_min,n_added_edges,n_boundary,n_core_interior,n_edges,n_flagged_enrichment_nodes,n_flagged_nodes_with_added_edges,n_flagged_nodes_without_added_edges,n_force_flagged_enrichment_nodes,n_interior,n_interior_eval,n_near_boundary_interior,n_original_edges,n_points,negative_lambda_fraction,operator,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,selected_attempt_alpha,selected_attempt_idx,selected_attempt_max_neighbors,selected_attempt_min_neighbors,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
,,,,,0.1895810639980482,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,annulus,4001,0.5066824872820909,0.0,0.1,0.09275571783908923,0.10750689013692692,0.10639586429188636,0.10534658388368205,1.0,0.44302999711606184,0.44302999711606184,0.44302999711606184,0.3494163092120546,,0.2932620036632614,285,False,104.61934230882221,0.023119919853831022,interior_core,0.5210337140727879,-0.37569984009441865,203.97748635839372,23,,0.1745976380154976,109.6639896346488,0.04134677340172829,0.013050075850006889,,107,76,0,,,,,194,194,118,,301,0.0,wls,,,,,,6.750155989720952e-14,2.5757174171303632e-14,2.3092638912203256e-14,4.3520742565306136e-14,3.275157922644212e-14,2.4424906541753444e-14,5.3734794391857577e-14,0.0889372154227979,0.10931601607390884,0.11078116057492522,0.11171463988757724,,,,,0.0011845219996757805,ok,0.19076558599772397,1,False,linf_outlier
,,,,,0.07117292600742076,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,annulus,4009,1.0,0.0,0.2,0.8127788744300547,nan,1.1254359392767639,1.1254359392767639,1.0,3.8102446331537925,nan,3.8102446331537925,3.8102446331537925,,0.10999999999999999,57,False,39.08275529519558,0.07221967349553281,near_boundary_interior,0.5231288745403727,0.7200251249936511,46.22548206262218,23,,0.11000000000000004,34.270348105835126,0.05720000000000003,0.055648122212404366,,54,0,0,,,,,47,47,47,,101,0.0,wls,,,,,,1.9262369477246466e-14,9.325873406851315e-15,4.440892098500626e-15,1.0658141036401503e-14,1.0658141036401503e-14,6.217248937900877e-15,1.1962653090336062e-14,0.8121679587213225,nan,1.1905773327803684,1.1905773327803684,,,,,0.0003321129916002974,ok,0.07150503899902105,9,False,l2_outlier
,,,,,0.30926258899853565,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2001,0.9359311383455361,0.0,0.16,1.3005870088280818,0.5524284535474793,1.53832019572597,2.097981928245358,1.0,10.74838177736791,1.339354877075409,10.74838177736791,10.74838177736791,,0.08800000000000001,60,False,64.16689171689548,0.044971472725145525,near_boundary_interior,-0.9818377232591295,-0.5220523778179051,81.87035320348862,23,,0.2769576910243007,45.313427661270794,0.06575695391227754,0.0322473810952602,,48,27,0,,,,,72,72,45,,120,0.0,wls,,,,,,2.2648549702353193e-14,8.881784197001252e-15,9.103828801926284e-15,1.1324274851176597e-14,8.645861804268407e-15,6.8833827526759706e-15,1.3378187446733136e-14,1.7710199310580628,0.55982205741548,2.286376899596428,2.859368895688652,,,,,0.0013659750111401081,ok,0.31062856400967576,1,True,linf_large
,,,,,0.3023605540074641,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2006,0.9765120810888412,0.0,0.16,6.650483401778437,1.6520505793593068,7.870150721878397,11.381104039934748,1.0,65.86811259455033,6.064783332452594,65.86811259455033,65.86811259455033,,0.08800000000000004,48,False,62.15709521757294,0.047855727991563714,near_boundary_interior,0.9818377232591271,0.5220523778179099,77.88829849569612,23,,0.26947653909483393,42.587589038236445,0.06574626142937477,0.03259824429677034,,48,28,0,,,,,71,71,43,,119,0.0,wls,,,,,,3.352873534367973e-14,1.176836406102666e-14,7.771561172376096e-15,2.4313884239290928e-14,1.0769163338864018e-14,8.881784197001252e-15,2.398081733190338e-14,9.547728272296148,1.6968223513584533,12.360736739193372,15.824118281511772,,,,,0.0011773400037782267,ok,0.3035378940112423,6,True,linf_large;l2_outlier;linf_outlier
,,,,,0.3281760240060976,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2007,0.9574834168802182,0.0,0.16,1.4122214503789343,0.47472615775215093,1.6657437876724244,2.3611678564202996,1.0,13.4886524266307,1.530697384875231,13.4886524266307,13.4886524266307,,0.08800000000000004,48,False,72.95826826849513,0.03962621842098331,near_boundary_interior,0.9818377232591271,0.5220523778179099,76.7937865041999,23,,0.2542698420562843,44.78103974926821,0.06576764639518032,0.03392001061518791,,48,29,0,,,,,73,73,44,,121,0.0,wls,,,,,,2.842170943040401e-14,9.769962616701378e-15,9.658940314238862e-15,1.709743457922741e-14,1.678865380050354e-14,8.881784197001252e-15,1.9539925233402755e-14,1.9279047819103723,0.4945227074284778,2.4820860609566546,3.1717603732891027,,,,,0.001391258992953226,ok,0.3295672829990508,7,True,linf_large
,,,,,0.19389591700746678,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2000,0.9717544116768759,0.0,0.2,4.553119569520184,1.506421457162107,5.655302154446407,7.1856213128390625,1.0,34.058216052828165,2.3833833025659317,34.058216052828165,34.058216052828165,,0.11000000000000004,38,False,40.40063511879841,0.07245988389447305,near_boundary_interior,0.9624128762162308,0.5117240034366201,47.50852044105791,23,,0.2868307829991377,29.581886643378358,0.08279826313992898,0.05621434861305516,,38,12,0,,,,,45,45,33,,83,0.0,wls,,,,,,1.6431300764452317e-14,5.773159728050814e-15,7.549516567451064e-15,1.429412144204889e-14,1.083855227790309e-14,2.886579864025407e-15,9.381384558082573e-15,6.163734970519122,1.5530023925512118,8.370988510994955,9.730245554423046,,,,,0.0007260429993038997,ok,0.19462196000677068,0,True,linf_large
,,,,,0.1912495300057344,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2001,0.9710080444599075,0.0,0.2,11.470790209540384,3.688345248054794,14.377216649410622,18.940581598591926,1.0,98.98378162215515,9.357413085819704,98.98378162215515,98.98378162215515,,0.11000000000000004,38,False,36.50401822475459,0.08190727307383337,near_boundary_interior,0.9624128762162308,0.5117240034366201,47.68426659295386,23,,0.2960080502124649,29.735565137757437,0.08279826313992898,0.056229900937867866,,38,14,0,,,,,45,45,31,,83,0.0,wls,,,,,,1.9539925233402755e-14,9.769962616701378e-15,1.0436096431476471e-14,2.398081733190338e-14,1.1879386363489175e-14,2.886579864025407e-15,7.993605777301127e-15,15.731080836247717,3.936849485294751,21.36443204901002,25.604164278728984,,,,,0.0007878779870225117,ok,0.19203740799275693,1,True,linf_large
,,,,,0.18381181500444654,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2002,0.9654374850173119,0.0,0.2,7.662665498193608,3.017878091098508,9.530106121029377,11.567198735044789,1.0,55.63761722866395,7.433181622246372,55.63761722866395,55.63761722866395,,0.11000000000000004,38,False,37.14595172337216,0.0800292173038714,near_boundary_interior,0.9624128762162308,0.5117240034366201,47.775254542673316,23,,0.29325795917656855,29.075700903480353,0.08279826313992898,0.05454546034636041,,38,11,0,,,,,45,45,34,,83,0.0,wls,,,,,,1.5654144647214707e-14,7.993605777301127e-15,6.8833827526759706e-15,1.4876988529977098e-14,6.356026815979021e-15,4.884981308350689e-15,9.547918011776346e-15,10.422020982643604,2.9556727103359526,14.15418059412607,16.196623885881646,,,,,0.0005160220025572926,ok,0.18432783700700384,2,True,linf_large
,,,,,0.21328268300567288,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2003,0.9155761561732486,0.0,0.2,3.60753569037291,2.1276290815506913,4.485081626733621,5.429157173523598,1.0,25.40366169484087,4.545472594122707,25.40366169484087,25.40366169484087,,0.11000000000000004,38,False,38.863627296320146,0.07530259445906398,near_boundary_interior,0.9624128762162308,0.5117240034366201,48.05858494427085,23,,0.277297472107502,30.92955228337849,0.08279826313992898,0.0556445239787273,,38,13,0,,,,,46,46,33,,84,0.0,wls,,,,,,1.84297022087776e-14,1.1546319456101628e-14,5.773159728050814e-15,2.0039525594484076e-14,1.6459056340067946e-14,7.993605777301127e-15,1.1185496973098452e-14,4.692424786588263,2.155935601427647,6.341004295258146,7.363214617490895,,,,,0.0007334249967243522,ok,0.21401610800239723,3,True,linf_large
,,,,,0.17838445700181182,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,ellipse,2004,0.9450548137779207,0.0,0.2,2.711453499541742,1.3864268418156156,3.3730120611408814,3.991755324368908,1.0,15.199485478098628,2.2665540534479685,15.199485478098628,15.199485478098628,,0.11000000000000004,38,False,39.48357466575141,0.07216639201983333,near_boundary_interior,0.9624128762162308,0.5117240034366201,48.11842194297686,23,,0.28023996008164187,30.3451018237063,0.08279826313992898,0.053718874192023466,,38,11,0,,,,,46,46,35,,84,0.0,wls,,,,,,1.6431300764452317e-14,6.217248937900877e-15,5.440092820663267e-15,1.021405182655144e-14,5.162537064506978e-15,2.6645352591003757e-15,6.050715484207103e-15,3.569363167338447,1.4164720822655774,4.823379852591184,5.472318293143049,,,,,0.0005556719988817349,ok,0.17894012900069356,4,True,linf_large
